Date,Action,Ticker,Reason,Price,Shares,Value,RS,Alphabetical Position,Return %,Entry Date,Days Held,RS at Exit
2023-09-22 00:00:00+05:30,SELL,CIPLA.NS,RS Below Threshold,1165.830810546875,87,101427.28051757812,,,-5.701333107949595,2023-08-31 00:00:00+05:30,22.0,-2.8349092437756207
2023-09-22 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,RS Signal,4838.11572265625,20,96762.314453125,8.010547652749382,6.0,,,,
2023-11-22 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,Take Profit,5564.1640625,20,111283.28125,,,15.006841122955421,2023-09-22 00:00:00+05:30,61.0,6.403774560930904
2023-11-22 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,5503.69287109375,20,110073.857421875,11.317933162998704,3.0,,,,
2024-02-09 00:00:00+05:30,SELL,APOLLOHOSP.NS,Take Profit,6404.41015625,20,128088.203125,,,16.36568947891255,2023-11-22 00:00:00+05:30,79.0,10.971584043962787
2024-02-09 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,6404.41015625,19,121683.79296875,10.971584043962787,3.0,,,,
2024-02-29 00:00:00+05:30,SELL,APOLLOHOSP.NS,RS Below Threshold,6075.8544921875,19,115441.2353515625,,,-5.130147133719501,2024-02-09 00:00:00+05:30,20.0,-2.8760767003740604
2024-02-29 00:00:00+05:30,BUY,ADANIPORTS.NS,RS Signal,1308.4925537109375,88,115147.3447265625,8.339830519952141,2.0,,,,
2024-03-13 00:00:00+05:30,SELL,ADANIPORTS.NS,Stop Loss,1198.551513671875,88,105472.533203125,,,-8.402114305294692,2024-02-29 00:00:00+05:30,13.0,-4.368275681779709
2024-03-13 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,RS Signal,8111.72021484375,12,97340.642578125,5.90471866482356,6.0,,,,
2024-04-25 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,RS Below Threshold,8450.3173828125,12,101403.80859375,,,4.174172173112509,2024-03-13 00:00:00+05:30,43.0,-2.351519296101509
2024-04-25 00:00:00+05:30,BUY,AXISBANK.NS,RS Signal,1125.1693115234375,89,100140.06872558594,9.068027571504775,5.0,,,,
2024-07-11 00:00:00+05:30,SELL,AXISBANK.NS,Take Profit,1294.6435546875,89,115223.2763671875,,,15.062110335608129,2024-04-25 00:00:00+05:30,77.0,9.163221130835668
2024-07-11 00:00:00+05:30,BUY,ADANIPORTS.NS,RS Signal,1476.665771484375,77,113703.26440429688,6.906020661042356,2.0,,,,
2024-08-14 00:00:00+05:30,SELL,ADANIPORTS.NS,RS Below Threshold,1454.8717041015625,77,112025.12121582031,,,-1.475897105741447,2024-07-11 00:00:00+05:30,34.0,-2.47491113892898
2024-08-14 00:00:00+05:30,BUY,BPCL.NS,RS Signal,314.0232238769531,356,111792.26770019531,6.175624842128203,10.0,,,,
2024-09-17 00:00:00+05:30,SELL,BPCL.NS,RS Below Threshold,326.9203796386719,356,116383.65515136719,,,4.107070681744345,2024-08-14 00:00:00+05:30,34.0,-3.1482502944873434
2024-09-17 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,6989.2060546875,16,111827.296875,5.022557198610763,3.0,,,,
2024-10-04 00:00:00+05:30,SELL,APOLLOHOSP.NS,RS Below Threshold,6755.38623046875,16,108086.1796875,,,-3.3454418483188433,2024-09-17 00:00:00+05:30,17.0,-2.3174609742009236
2024-10-04 00:00:00+05:30,BUY,BAJAJ-AUTO.NS,RS Signal,11483.3662109375,9,103350.2958984375,8.46233660387689,6.0,,,,
2024-10-16 00:00:00+05:30,SELL,BAJAJ-AUTO.NS,RS Below Threshold,11329.80859375,9,101968.27734375,,,-1.3372178015296752,2024-10-04 00:00:00+05:30,12.0,-2.7894608599709283
2024-10-16 00:00:00+05:30,BUY,DIVISLAB.NS,RS Signal,6095.89306640625,16,97534.2890625,12.31520725171614,15.0,,,,
2024-11-08 00:00:00+05:30,SELL,DIVISLAB.NS,RS Below Threshold,5922.880859375,16,94766.09375,,,-2.8381765419196725,2024-10-16 00:00:00+05:30,23.0,-3.132401540322955
2024-11-08 00:00:00+05:30,BUY,APOLLOHOSP.NS,RS Signal,7401.4443359375,12,88817.33203125,6.27201679021472,3.0,,,,
2024-11-13 00:00:00+05:30,SELL,APOLLOHOSP.NS,Stop Loss,6840.4072265625,12,82084.88671875,,,-7.580103070570976,2024-11-08 00:00:00+05:30,5.0,-3.0043935916443316
2024-11-13 00:00:00+05:30,BUY,WIPRO.NS,RS Signal,273.5757751464844,299,81799.15676879883,6.924737923775551,48.0,,,,
2025-01-08 00:00:00+05:30,SELL,WIPRO.NS,RS Below Threshold,286.1246643066406,299,85551.27462768555,,,4.586988432523687,2024-11-13 00:00:00+05:30,56.0,-2.041156423706632
2025-01-08 00:00:00+05:30,BUY,BAJFINANCE.NS,RS Signal,732.023681640625,116,84914.7470703125,7.091214288310109,8.0,,,,
